연번,읍면동,경로당 명,소재지,새주소,건물구조,계,남,여,"경로당
면적
(㎡)","건축년도
(준공일)"
335,단계동,이편한세상A 경로당,단계동 1095-1 이편한세상A,"봉화로 67(단계동, 이편한세상A)",철근콘크리트,59,13,46,83.52,2006-10-12
336,단계동,이안A 경로당,단계동 1166 대우이안A,"모란1길 51(단계동, 대우이안A)",철근콘크리트,42,15,27,198,2007-08-14
337,단계동,봉화산주공A 경로당,단계동 1096 봉화산주공A,"백간길 16(단계동, 봉화산주공A)",철근콘크리트,21,7,14,97.93,2008-05-02
338,단계동,샘둔지 경로당,단계동 778-4,"천사로 106, 204호(단계동, 하나비바채)",철근콘크리트,27,10,17,67.82,1982-12-23
339,단계동,무상 경로당,단계동 493-12,무상길 27(단계동),철근콘크리트구조,45,19,26,99.5,2016-06-02
340,단계동,단계택지 경로당,단계동 831-1,금불1길 24-12(단계동),철근콘크리트조/조적조(2층),33,19,14,127.8,1994-12-14
341,단계동,봉화산벨라시티A 경로당,단계동 1215,백간길 17(단계동),철근콘크리트,60,23,37,158.5,2016-10-14
342,단계동,봉화산푸르지오A 경로당,단계동 1184,봉화서부로 11(단계동),철근콘크리트,35,13,22,186.5,2017-11-13
343,우산동,우산 경로당,우산동 90-13,북원로2485번길 8(우산동),조적조스라브,21,5,16,112.23,1995-04-10
344,우산동,상지 경로당,우산동 122-1,상지대길 34-11(우산동),조적조스라브,33,16,17,115.5,1992-10-19
345,우산동,백운 경로당,우산동 195-6,우무개2길 37-1(우산동),쎄멘부럭,24,8,16,66,1987-04-07
346,우산동,우두산 경로당,우산동 458-9,우산공단길 153(우산동),조적조,28,8,20,89.86,2000-08-12
347,우산동,동보렉스1차A 경로당,우산동 333-9 동보렉스1차A,"진광길 24, 101-103(우산동, 동보렉스1차A)",철근콘크리트,55,38,17,52.8,1988-11-30
348,우산동,동보렉스2차A 경로당,우산동 333-48 동보렉스2차A,"우산공단길 25(우산동, 동보렉스2차A)",철골조,28,11,17,66.645,1989-05-29
349,우산동,삼호A 경로당,우산동 130-1 삼호A,"북원로2425번길 41(우산동, 삼호A)",철골조,35,14,21,99,1990-12-22
350,우산동,덕원A 경로당,우산동 157 덕원A,"원문로100번길 90(우산동, 덕원A)",철골조,36,9,27,144,1992-08-27
351,우산동,한라비발디1차A 경로당,우산동 818 한라비발디1차A,"모란1길 86(우산동, 한라비발디1차A)",철근콘크리트,36,15,21,101.676,2009-09-24
352,우산동,한라비발디2차A 경로당,우산동 823 한라비발디2차A,"봉화로 231(우산동, 한라디발디2차A)",철근콘크리트,28,13,15,113.7,2014-09-29
353,우산동,우산1통 경로당,우산동 152-18,북원로2425번길 25-21(우산동),철근콘크리트,29,9,20,121.08,2012-08-30
354,우산동,신일유토빌A 경로당,우산동 821,"우산공단길 23(우산동, 신일유토빌)",철근콘크리트,45,16,29,108.036,2012-02-08
355,우산동,우산동가현5통 경로당,가현동 454-3,점실길 10(가현동),벽돌구조/경량철골조(2층),40,23,17,98.28,1998-05-20
356,우산동,웃골 경로당,가현동 692,저금어지길 311-12(가현동),경량철골구조,21,9,12,98.75,2014-10-08
357,우산동 ,동심 경로당,우산동 294-6,우무개로 35-10,"변색벽돌, 철근콘크리트",42,18,24,172.1,1990-01-25
358,태장1동,새동네 경로당,태장동 1346-109,새동네1길 52(태장동),세멘벽돌,56,14,42,107.19,1992-04-18
359,태장1동,태일 경로당,태장동 730-1,가매기길 17-2(태장동),철근콘크리트,60,26,34,187,1982-12-13
360,태장1동,현대A 경로당,태장동 682 현대A,"현충로58번길 29(태장동, 현대A)",철근콘크리트,26,9,17,120.24,1995-10-30
361,태장1동,동보렉스A 경로당,태장동 128-1 동보렉스A,"치악로 2035(태장동, 동보렉스7차A)",철근콘크리트,44,13,31,187.56,1997-11-30
362,태장1동,성호A 경로당,태장동 129-7 성호A,"치악로 2047(태장동, 성호A)",철근콘크리트,33,7,26,71.85,1998-10-29
363,태장1동,성호샤인힐즈A 경로당,태장동 128-9 성호샤인힐즈A,"현충로58번길 71(태장동, 성호샤인힐즈A)",철근콘크리트,33,13,20,140.8,2004-12-10
364,태장1동,흥화브라운빌A 경로당,태장동 2716 흥화브라운빌A,"현충로58번길 21(태장동, 흥화브라운빌A)",철근콘크리트,18,8,10,84.05,2006-09-01
365,태장1동,태장LH천년나무5단지A 경로당,태장동 131 태장LH천년나무5단지A,"치악로 2050(태장동, 태장LH천년나무5단지A)",철근콘크리트,59,29,30,103.6,2018-01-17
366,태장동,태장동 경로당,태장동 1377-14,북원상가길 19-14(태장동),철근콘크리트/스라브/경량철골구조(2층),64,12,52,132.65,1985-04-20
