,식당명,GRID_X,GRID_Y
561,스타벅스 원주반곡DT점,397684,524196
562,로사리아,393213,522186
563,그집쭈꾸미,389346,530101
564,차이나마라훠궈,396523,524727
565,한입가득,395412,527743
566,치킨과바람피자 원주기업도시점,389597,530217
567,쑝쑝돈까스 원주단계점,394068,527097
568,카페풍경화,391395,523177
569,치킨플러스 원주명륜점,396081,526612
570,해바라기식당,389598,530279
571,간현 막국수,385776,529115
572,빅토리아,393385,527527
573,강릉교동짬뽕 원주점,394873,529882
574,토우커피,401024,526931
575,할리스커피 원주단계택지점,394173,527119
576,케익 그집,396511,524226
577,감탄떡볶이 롯데마트원주점,393784,527081
578,아리가또맘마 원주롯데마트점,393784,527081
579,원주토토쌀찐빵,400355,526844
580,coffee GABI,396972,524099
581,찬이네 통큰 왕만두,394545,529319
582,커피베이원주시청점,393463,526694
583,피자알볼로 원주시청점,393298,526470
584,태장지짐이,395702,531295
585,꼬지사께 원주기업도시점,388839,531211
586,속초회냉면,384007,523242
587,장수흑염소,385396,525908
588,홍콩반점0410 원주단계점,393929,527106
589,효춘천닭갈비본점,393849,526118
590,쓰구와,395045,524506
591,천매생삼겹살,395236,524607
592,홍대호프,394169,526143
593,남원주보리밥전문점,392961,522413
594,통큰원주막창,393833,525994
595,한스스넥,392275,519713
596,곰집,397868,531022
597,욜크,393618,526368
598,남광한우숯불구이,397129,526747
599,정가네삼계탕,395999,526377
600,이차돌 원주단계점,393627,527556
601,오야오야,393724,527526
602,소문난 해물칼국수&왕돈까스,394308,526257
603,신전떡볶이 단관점,396647,523795
604,무쏘 원주점,394119,527096
605,이화감자탕,394313,526311
606,짬뽕타운(흥양점),398188,531548
607,컬투치킨 무실사랑점,393785,526169
608,카페봄봄 원주단계점,394001,527035
609,황가네복추어탕,394874,529836
610,명성,393238,526475
611,와글와글돈까스,394168,526782
612,두꺼비갈비탕,394743,529532
613,맘스터치원주흥업점,393099,522428
614,르미엘,394174,525594
615,래래반점 단계점,393740,527178
616,멜로디카페,400467,529243
617,영풍가,393238,526475
618,청진동해장국&감자탕,395016,526750
619,디딤돌생삼겹살,394867,529981
620,미림족발보쌈 단관점,396870,524067
621,쏘쏘네수제하우스,396717,523782
